order,year,sex,age_group,region,Population,No.examined,Cs
3,1981,M,0_4,urban,1361,1216,4
3,1981,M,5_9,urban,1387,1315,8
3,1981,M,10_14,urban,1487,1377,13
3,1981,M,15_19,urban,1345,1107,17
3,1981,M,20_24,urban,1249,822,21
3,1981,M,25_29,urban,1006,805,42
3,1981,M,30_34,urban,862,745,47
3,1981,M,35_39,urban,791,694,50
3,1981,M,40_44,urban,743,661,48
3,1981,M,45_49,urban,525,462,32
3,1981,M,50_54,urban,321,296,17
3,1981,M,55_59,urban,256,232,14
3,1981,M,60+,urban,402,355,14
3,1981,M,0_4,rural,825,771,2
3,1981,M,5_9,rural,1067,1019,5
3,1981,M,10_14,rural,1204,1132,17
3,1981,M,15_19,rural,1081,752,21
3,1981,M,20_24,rural,767,460,18
3,1981,M,25_29,rural,462,353,27
3,1981,M,30_34,rural,414,342,29
3,1981,M,35_39,rural,428,393,32
3,1981,M,40_44,rural,508,478,38
3,1981,M,45_49,rural,425,399,45
3,1981,M,50_54,rural,308,282,24
3,1981,M,55_59,rural,283,261,24
3,1981,M,60+,rural,585,519,22
3,1981,F,0_4,urban,1204,1068,6
3,1981,F,5_9,urban,1316,1242,9
3,1981,F,10_14,urban,1329,1245,12
3,1981,F,15_19,urban,1226,1007,7
3,1981,F,20_24,urban,1385,1120,26
3,1981,F,25_29,urban,1073,967,28
3,1981,F,30_34,urban,885,847,21
3,1981,F,35_39,urban,778,743,16
3,1981,F,40_44,urban,652,626,16
3,1981,F,45_49,urban,544,514,11
3,1981,F,50_54,urban,387,350,12
3,1981,F,55_59,urban,309,281,7
3,1981,F,60+,urban,544,440,13
3,1981,F,0_4,rural,690,626,2
3,1981,F,5_9,rural,1020,986,5
3,1981,F,10_14,rural,1210,1115,10
3,1981,F,15_19,rural,949,593,8
3,1981,F,20_24,rural,657,444,4
3,1981,F,25_29,rural,459,407,4
3,1981,F,30_34,rural,417,389,10
3,1981,F,35_39,rural,470,454,9
3,1981,F,40_44,rural,533,514,12
3,1981,F,45_49,rural,445,423,10
3,1981,F,50_54,rural,371,350,5
3,1981,F,55_59,rural,320,299,9
3,1981,F,60+,rural,736,632,19
4,1986,M,0_4,urban,1035,1002,2
4,1986,M,5_9,urban,1558,1520,7
4,1986,M,10_14,urban,1709,1677,10
4,1986,M,15_19,urban,1625,1520,6
4,1986,M,20_24,urban,1174,875,9
4,1986,M,25_29,urban,1496,1311,29
4,1986,M,30_34,urban,1329,1188,40
4,1986,M,35_39,urban,1102,1005,49
4,1986,M,40_44,urban,975,909,40
4,1986,M,45_49,urban,860,795,52
4,1986,M,50_54,urban,648,591,21
4,1986,M,55_59,urban,426,399,22
4,1986,M,60+,urban,633,576,21
4,1986,M,0_4,rural,521,484,2
4,1986,M,5_9,rural,981,956,19
4,1986,M,10_14,rural,1181,1139,24
4,1986,M,15_19,rural,1092,808,31
4,1986,M,20_24,rural,773,441,30
4,1986,M,25_29,rural,681,516,33
4,1986,M,30_34,rural,596,519,47
4,1986,M,35_39,rural,532,488,65
4,1986,M,40_44,rural,480,448,54
4,1986,M,45_49,rural,577,537,58
4,1986,M,50_54,rural,529,496,53
4,1986,M,55_59,rural,386,364,26
4,1986,M,60+,rural,926,842,72
4,1986,F,0_4,urban,959,925,0
4,1986,F,5_9,urban,1395,1378,4
4,1986,F,10_14,urban,1506,1466,10
4,1986,F,15_19,urban,1592,1501,9
4,1986,F,20_24,urban,1392,1241,10
4,1986,F,25_29,urban,1714,1598,9
4,1986,F,30_34,urban,1351,1317,17
4,1986,F,35_39,urban,1003,974,16
4,1986,F,40_44,urban,965,940,15
4,1986,F,45_49,urban,797,767,12
4,1986,F,50_54,urban,617,599,13
4,1986,F,55_59,urban,450,423,4
4,1986,F,60+,urban,912,821,17
4,1986,F,0_4,rural,455,426,1
4,1986,F,5_9,rural,853,819,14
4,1986,F,10_14,rural,1122,1080,11
4,1986,F,15_19,rural,1010,733,15
4,1986,F,20_24,rural,699,436,7
4,1986,F,25_29,rural,654,573,12
4,1986,F,30_34,rural,600,572,13
4,1986,F,35_39,rural,518,504,28
4,1986,F,40_44,rural,497,479,14
4,1986,F,45_49,rural,589,574,25
4,1986,F,50_54,rural,608,590,27
4,1986,F,55_59,rural,507,480,23
4,1986,F,60+,rural,1081,968,42
5,1992,M,0_4,urban,1147,1021,1
5,1992,M,5_9,urban,1575,1489,4
5,1992,M,10_14,urban,2017,1922,9
5,1992,M,15_19,urban,1819,1652,9
5,1992,M,20_24,urban,1704,1263,12
5,1992,M,25_29,urban,1673,1398,12
5,1992,M,30_34,urban,1973,1742,36
5,1992,M,35_39,urban,1759,1574,58
5,1992,M,40_44,urban,1266,1158,33
5,1992,M,45_49,urban,1047,959,36
5,1992,M,50_54,urban,1052,970,39
5,1992,M,55_59,urban,757,706,17
5,1992,M,60+,urban,1144,1050,32
5,1992,M,0_4,rural,236,211,1
5,1992,M,5_9,rural,504,484,4
5,1992,M,10_14,rural,712,689,6
5,1992,M,15_19,rural,687,581,12
5,1992,M,20_24,rural,552,347,17
5,1992,M,25_29,rural,392,284,18
5,1992,M,30_34,rural,423,375,26
5,1992,M,35_39,rural,446,411,31
5,1992,M,40_44,rural,394,368,38
5,1992,M,45_49,rural,398,376,42
5,1992,M,50_54,rural,493,474,44
5,1992,M,55_59,rural,528,508,53
5,1992,M,60+,rural,1043,988,75
5,1992,F,0_4,urban,1011,910,0
5,1992,F,5_9,urban,1463,1389,4
5,1992,F,10_14,urban,1800,1688,14
5,1992,F,15_19,urban,1603,1448,9
5,1992,F,20_24,urban,1841,1571,16
5,1992,F,25_29,urban,1757,1606,20
5,1992,F,30_34,urban,1989,1895,19
5,1992,F,35_39,urban,1699,1637,14
5,1992,F,40_44,urban,1259,1201,11
5,1992,F,45_49,urban,1089,1047,18
5,1992,F,50_54,urban,950,914,6
5,1992,F,55_59,urban,831,797,7
5,1992,F,60+,urban,1492,1354,14
5,1992,F,0_4,rural,169,154,2
5,1992,F,5_9,rural,425,404,4
5,1992,F,10_14,rural,656,631,7
5,1992,F,15_19,rural,705,571,16
5,1992,F,20_24,rural,481,330,9
5,1992,F,25_29,rural,363,302,9
5,1992,F,30_34,rural,458,432,14
5,1992,F,35_39,rural,460,444,14
5,1992,F,40_44,rural,415,401,16
5,1992,F,45_49,rural,377,364,17
5,1992,F,50_54,rural,575,561,20
5,1992,F,55_59,rural,589,574,26
5,1992,F,60+,rural,1358,1287,47
6,1997,M,0_4,urban,1216,1072,0
6,1997,M,5_9,urban,1386,1358,3
6,1997,M,10_14,urban,1404,1369,0
6,1997,M,15_19,urban,1833,1692,8
6,1997,M,20_24,urban,1680,1184,9
6,1997,M,25_29,urban,1921,1694,16
6,1997,M,30_34,urban,1692,1564,16
6,1997,M,35_39,urban,1819,1690,46
6,1997,M,40_44,urban,1399,1325,49
6,1997,M,45_49,urban,1168,1106,45
6,1997,M,50_54,urban,985,943,32
6,1997,M,55_59,urban,953,918,34
6,1997,M,60+,urban,1320,1255,37
6,1997,M,0_4,rural,298,283,0
6,1997,M,5_9,rural,368,355,1
6,1997,M,10_14,rural,433,409,2
6,1997,M,15_19,rural,497,406,2
6,1997,M,20_24,rural,504,267,1
6,1997,M,25_29,rural,531,365,4
6,1997,M,30_34,rural,437,354,6
6,1997,M,35_39,rural,478,421,10
6,1997,M,40_44,rural,384,345,10
6,1997,M,45_49,rural,365,332,15
6,1997,M,50_54,rural,329,311,14
6,1997,M,55_59,rural,471,440,21
6,1997,M,60+,rural,1081,1026,45
6,1997,F,0_4,urban,1027,897,0
6,1997,F,5_9,urban,1231,1192,2
6,1997,F,10_14,urban,1284,1230,1
6,1997,F,15_19,urban,1616,1485,6
6,1997,F,20_24,urban,1746,1541,7
6,1997,F,25_29,urban,1955,1822,9
6,1997,F,30_34,urban,1637,1578,9
6,1997,F,35_39,urban,1760,1717,12
6,1997,F,40_44,urban,1490,1453,20
6,1997,F,45_49,urban,1201,1177,17
6,1997,F,50_54,urban,1022,1000,16
6,1997,F,55_59,urban,894,875,17
6,1997,F,60+,urban,1824,1683,25
6,1997,F,0_4,rural,249,225,0
6,1997,F,5_9,rural,347,337,0
6,1997,F,10_14,rural,428,387,1
6,1997,F,15_19,rural,540,414,2
6,1997,F,20_24,rural,466,284,3
6,1997,F,25_29,rural,411,328,0
6,1997,F,30_34,rural,362,343,6
6,1997,F,35_39,rural,422,406,4
6,1997,F,40_44,rural,417,404,3
6,1997,F,45_49,rural,325,316,5
6,1997,F,50_54,rural,391,380,4
6,1997,F,55_59,rural,546,527,12
6,1997,F,60+,rural,1434,1347,19
7,2004,M,0_4,urban,,131,0
7,2004,M,5_9,urban,,575,4
7,2004,M,10_14,urban,,557,3
7,2004,M,15_19,urban,,467,1
7,2004,M,20_24,urban,,557,3
7,2004,M,25_29,urban,,487,6
7,2004,M,30_34,urban,,717,11
7,2004,M,35_39,urban,,861,14
7,2004,M,40_44,urban,,869,19
7,2004,M,45_49,urban,,724,24
7,2004,M,50_54,urban,,503,17
7,2004,M,55_59,urban,,443,18
7,2004,M,60+,urban,,1312,15
7,2004,M,0_4,rural,,28,0
7,2004,M,5_9,rural,,121,1
7,2004,M,10_14,rural,,118,0
7,2004,M,15_19,rural,,99,2
7,2004,M,20_24,rural,,67,1
7,2004,M,25_29,rural,,71,3
7,2004,M,30_34,rural,,129,6
7,2004,M,35_39,rural,,153,2
7,2004,M,40_44,rural,,182,4
7,2004,M,45_49,rural,,173,9
7,2004,M,50_54,rural,,150,8
7,2004,M,55_59,rural,,136,11
7,2004,M,60+,rural,,782,31
7,2004,F,0_4,urban,,140,0
7,2004,F,5_9,urban,,679,2
7,2004,F,10_14,urban,,761,3
7,2004,F,15_19,urban,,582,8
7,2004,F,20_24,urban,,399,6
7,2004,F,25_29,urban,,457,7
7,2004,F,30_34,urban,,581,11
7,2004,F,35_39,urban,,699,15
7,2004,F,40_44,urban,,774,47
7,2004,F,45_49,urban,,688,36
7,2004,F,50_54,urban,,460,41
7,2004,F,55_59,urban,,435,26
7,2004,F,60+,urban,,1170,53
7,2004,F,0_4,rural,,39,1
7,2004,F,5_9,rural,,148,0
7,2004,F,10_14,rural,,131,1
7,2004,F,15_19,rural,,110,1
7,2004,F,20_24,rural,,73,0
7,2004,F,25_29,rural,,78,1
7,2004,F,30_34,rural,,101,5
7,2004,F,35_39,rural,,137,11
7,2004,F,40_44,rural,,178,17
7,2004,F,45_49,rural,,175,12
7,2004,F,50_54,rural,,127,13
7,2004,F,55_59,rural,,121,19
7,2004,F,60+,rural,,612,56
8,2012,M,0_4,urban,,289,0
8,2012,M,5_9,urban,,515,3
8,2012,M,10_14,urban,,661,0
8,2012,M,15_19,urban,,564,1
8,2012,M,20_24,urban,,320,3
8,2012,M,25_29,urban,,359,4
8,2012,M,30_34,urban,,449,6
8,2012,M,35_39,urban,,553,10
8,2012,M,40_44,urban,,718,19
8,2012,M,45_49,urban,,700,33
8,2012,M,50_54,urban,,799,26
8,2012,M,55_59,urban,,687,32
8,2012,M,60+,urban,,1898,46
8,2012,M,0_4,rural,,84,0
8,2012,M,5_9,rural,,145,0
8,2012,M,10_14,rural,,150,1
8,2012,M,15_19,rural,,121,2
8,2012,M,20_24,rural,,41,2
8,2012,M,25_29,rural,,58,0
8,2012,M,30_34,rural,,90,2
8,2012,M,35_39,rural,,158,4
8,2012,M,40_44,rural,,199,9
8,2012,M,45_49,rural,,181,11
8,2012,M,50_54,rural,,242,12
8,2012,M,55_59,rural,,215,17
8,2012,M,60+,rural,,1062,55
8,2012,F,0_4,urban,,248,0
8,2012,F,5_9,urban,,476,0
8,2012,F,10_14,urban,,573,5
8,2012,F,15_19,urban,,468,3
8,2012,F,20_24,urban,,348,5
8,2012,F,25_29,urban,,369,4
8,2012,F,30_34,urban,,614,7
8,2012,F,35_39,urban,,731,6
8,2012,F,40_44,urban,,896,7
8,2012,F,45_49,urban,,825,15
8,2012,F,50_54,urban,,973,19
8,2012,F,55_59,urban,,828,24
8,2012,F,60+,urban,,2329,25
8,2012,F,0_4,rural,,77,0
8,2012,F,5_9,rural,,114,0
8,2012,F,10_14,rural,,119,0
8,2012,F,15_19,rural,,106,1
8,2012,F,20_24,rural,,54,0
8,2012,F,25_29,rural,,68,0
8,2012,F,30_34,rural,,136,0
8,2012,F,35_39,rural,,175,2
8,2012,F,40_44,rural,,220,3
8,2012,F,45_49,rural,,194,4
8,2012,F,50_54,rural,,271,7
8,2012,F,55_59,rural,,281,8
8,2012,F,60+,rural,,1321,36